Entity,Year,gini,reporting_gdp
Albania,1996,0.27010342,1633.551572
Albania,2002,0.317389798,2247.497491
Albania,2005,0.305956557,2675.507936
Albania,2008,0.299846704,3298.478044
Albania,2012,0.289604846,3736.339101
Albania,2014,0.345988965,3855.759734
Albania,2015,0.327537318,3952.802538
Albania,2016,0.337362987,4090.371657
Albania,2017,0.330556627,4249.803734
Albania,2018,0.301482817,4431.539181
Albania,2019,0.30771739,4544.515005
Algeria,1988,0.401949092,3128.337533
Algeria,1995,0.353300543,2834.265193
Algeria,2011,0.276157309,3956.895815
Angola,2000,0.519568925,2451.509826
Angola,2008,0.42715515,4077.776844
Angola,2018,0.512721112,3595.106667
Argentina - urban,1980,0.408308605,10318.18299
Argentina - urban,1986,0.42808887,9412.994813
Argentina - urban,1987,0.452763661,9517.10861
Argentina - urban,1991,0.467617391,8769.7504
Argentina - urban,1992,0.45468093,9338.699517
Argentina - urban,1993,0.448562859,9974.004419
Argentina - urban,1994,0.459168036,10423.37888
Argentina - urban,1995,0.489044033,10003.09169
Argentina - urban,1996,0.495244294,10430.68249
Argentina - urban,1997,0.491104752,11146.72103
Argentina - urban,1998,0.507336438,11445.56494
Argentina - urban,1999,0.497920414,10935.64459
Argentina - urban,2000,0.510639577,10730.60822
Argentina - urban,2001,0.53343106,10146.10682
Argentina - urban,2002,0.537937583,8943.308002
Argentina - urban,2003,0.50897157,9629.844086
Argentina - urban,2004,0.483770346,10389.15127
Argentina - urban,2005,0.477073551,11192.17958
Argentina - urban,2006,0.4634608,11970.65539
Argentina - urban,2007,0.461735563,12919.23536
Argentina - urban,2008,0.448767903,13310.62368
Argentina - urban,2009,0.43654197,12398.28358
Argentina - urban,2010,0.435832183,13551.33919
Argentina - urban,2011,0.426452806,14200.26989
Argentina - urban,2012,0.413261979,13895.63371
Argentina - urban,2013,0.409454422,14071.50868
Argentina - urban,2014,0.416327899,13567.94842
Argentina - urban,2016,0.420325289,13360.21183
Argentina - urban,2017,0.411344884,13595.03736
Argentina - urban,2018,0.413424984,13105.39716
Argentina - urban,2019,0.429058504,12712.97074
Argentina - urban,2020,0.423432911,11344.40574
Armenia,1996,0.44418623,1030.463922
Armenia,1999,0.362197243,1210.362395
Armenia,2001,0.35364359,1422.476654
Armenia,2002,0.347796743,1619.112189
Armenia,2003,0.330280869,1855.596827
Armenia,2004,0.375056325,2062.203233
Armenia,2005,0.359923534,2364.175935
Armenia,2006,0.297099848,2697.018983
Armenia,2007,0.312260583,3093.36934
Armenia,2008,0.291881417,3335.244164
Armenia,2009,0.280158774,2884.33947
Armenia,2010,0.299925823,2958.838999
Armenia,2011,0.293529458,3098.742304
Armenia,2012,0.296022614,3312.980008
Armenia,2013,0.305796632,3406.536118
Armenia,2014,0.314832907,3511.225059
Armenia,2015,0.323567718,3607.289299
Armenia,2016,0.325479484,3601.469664
Armenia,2017,0.336218374,3860.218058
Armenia,2018,0.344334977,4051.384967
Armenia,2019,0.298782071,4350.466198
Armenia,2020,0.251717426,4021.046264
Australia,1981,0.31325787,31570.85325
Australia,1985,0.324976853,33381.14964
Australia,1989,0.331538347,36602.73355
Australia,1995,0.325819904,39713.23155
Australia,2001,0.334647977,46496.02307
Australia,2003,0.335005161,48718.12971
Australia,2004,0.330574095,49885.99857
Australia,2008,0.354285083,53282.27691
Australia,2010,0.346567276,53825.47239
Australia,2014,0.343994314,56506.50059
Australia,2016,0.336858105,57527.17703
Australia,2018,0.343337622,58614.14965
Austria,1987,0.230444933,28359.31061
Austria,1994,0.313223423,32949.56376
Austria,1995,0.310592689,33776.89854
Austria,1997,0.302298534,35206.72616
Austria,2000,0.288371061,38827.2726
Austria,2003,0.294660779,39799.21308
Austria,2004,0.297889898,40634.8816
Austria,2005,0.287154333,41264.67242
Austria,2006,0.295875829,42479.26415
Austria,2007,0.305799959,43920.04645
Austria,2008,0.304373858,44422.18747
Austria,2009,0.314962324,42638.04137
Austria,2010,0.302522631,43317.08506
Austria,2011,0.308016687,44433.12737
Austria,2012,0.304763178,44531.96912
Austria,2013,0.307531331,44281.56633
Austria,2014,0.305356828,44227.37868
