Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
AFG,1990,0.23,0.72,0.13,4.84,0.45,5.13,0.44,16.66
AFG,1991,0.23,0.72,0.13,4.82,0.45,5.12,0.44,16.77
AFG,1992,0.23,0.72,0.12,4.8,0.44,5.11,0.45,16.87
AFG,1993,0.23,0.72,0.12,4.79,0.44,5.1,0.45,16.99
AFG,1994,0.23,0.72,0.11,4.78,0.43,5.1,0.45,17.11
AFG,1995,0.22,0.72,0.11,4.78,0.43,5.1,0.45,17.24
AFG,1996,0.22,0.72,0.11,4.78,0.43,5.1,0.44,17.39
AFG,1997,0.22,0.72,0.1,4.78,0.42,5.11,0.44,17.57
AFG,1998,0.22,0.72,0.1,4.78,0.42,5.11,0.44,17.75
AFG,1999,0.22,0.72,0.1,4.78,0.42,5.12,0.44,17.88
AFG,2000,0.22,0.72,0.1,4.79,0.42,5.12,0.44,17.94
AFG,2001,0.22,0.72,0.1,4.79,0.43,5.12,0.44,17.93
AFG,2002,0.22,0.72,0.1,4.79,0.44,5.12,0.44,17.92
AFG,2003,0.22,0.72,0.1,4.79,0.45,5.11,0.44,17.89
AFG,2004,0.22,0.72,0.1,4.79,0.47,5.1,0.44,17.86
AFG,2005,0.22,0.72,0.1,4.8,0.48,5.1,0.44,17.82
AFG,2006,0.22,0.72,0.1,4.81,0.5,5.1,0.44,17.77
AFG,2007,0.22,0.72,0.1,4.81,0.51,5.1,0.44,17.69
AFG,2008,0.22,0.72,0.1,4.82,0.52,5.1,0.44,17.58
AFG,2009,0.22,0.72,0.11,4.84,0.54,5.1,0.44,17.48
AFG,2010,0.22,0.72,0.11,4.85,0.54,5.1,0.44,17.4
AFG,2011,0.22,0.72,0.11,4.86,0.55,5.1,0.44,17.32
AFG,2012,0.22,0.72,0.11,4.89,0.55,5.1,0.44,17.26
AFG,2013,0.22,0.72,0.12,4.92,0.56,5.11,0.44,17.2
AFG,2014,0.23,0.72,0.12,4.95,0.56,5.11,0.43,17.15
AFG,2015,0.23,0.72,0.12,4.97,0.56,5.11,0.43,17.13
AFG,2016,0.23,0.72,0.12,4.99,0.58,5.11,0.43,17.11
AFG,2017,0.23,0.73,0.12,4.99,0.59,5.11,0.44,17.1
AFG,2018,0.23,0.73,0.12,5.01,0.57,5.12,0.44,17.1
AFG,2019,0.23,0.73,0.12,5.03,0.52,5.13,0.44,17.12
ALB,1990,0.3,0.57,0.11,3.85,0.47,2.51,1.69,11.53
ALB,1991,0.3,0.57,0.11,3.86,0.47,2.51,1.7,11.58
ALB,1992,0.3,0.57,0.11,3.87,0.47,2.51,1.71,11.62
ALB,1993,0.3,0.57,0.1,3.88,0.47,2.52,1.72,11.66
ALB,1994,0.3,0.57,0.1,3.89,0.47,2.53,1.73,11.68
ALB,1995,0.3,0.57,0.1,3.89,0.47,2.53,1.73,11.7
ALB,1996,0.3,0.57,0.1,3.9,0.47,2.54,1.73,11.71
ALB,1997,0.3,0.57,0.11,3.9,0.47,2.55,1.73,11.72
ALB,1998,0.3,0.57,0.11,3.91,0.46,2.56,1.73,11.72
ALB,1999,0.3,0.57,0.11,3.92,0.46,2.58,1.73,11.72
ALB,2000,0.3,0.57,0.11,3.93,0.46,2.59,1.73,11.72
ALB,2001,0.3,0.58,0.11,3.93,0.46,2.6,1.73,11.71
ALB,2002,0.3,0.58,0.11,3.94,0.46,2.61,1.73,11.7
